uid,наименование,статус
u1355,Запуск теста на Портале обучения,Просмотрен
u1229,Скрипты (ШОУРУМ),Просмотрен
u1681,Ассортимент ноутбуков,Просмотрен
u1681,"Учебное пособие ""электроника для начинающих""",Просмотрен
u1681,Тостеры,Просмотрен
u1681,Учебное пособие Домашняя техника,Просмотрен
u1948,Учебное пособие «Обеспечение безопасности магазина»,Просмотрен
u1948,Памятка «Взаимодействие магазин – мастерская»,Просмотрен
u1948,Учебное пособие «Схемотехника»,Просмотрен
u1948,"Учебное пособие ""электроника для начинающих""",Просмотрен
u1948,Скрипты по презентации товара,Просмотрен
u1948,Основы работы на кассовом аппарате Штрих-Мини-К,Просмотрен
u1948,Учебное пособие Домашняя техника,Просмотрен
u1948,Учебное пособие «Компания Чайникофф»,Просмотрен
u1231,Запуск теста на Портале обучения,Просмотрен
u1231,"Учебное пособие ""электроника для начинающих""",Просмотрен
u1231,Учебный курс «Стандарты качества Чайникофф»,Просмотрен
u1231,СКРИПТЫ ПО сервисам магазина,Просмотрен
u388,Инструкция по раскладке товара,Просмотрен
u388,Ассортимент,Просмотрен
u388,Инструкция по выкладке товара,Просмотрен
u388,Фены,Просмотрен
u388,Тостеры,Просмотрен
u388,Презентация товара,Просмотрен
u388,Оборудование Apple,Просмотрен
u388,1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ,Просмотрен
u388,Смартфоны,Просмотрен
u388,Дизайнерские чайники,Просмотрен
u388,Стандарты работы с Клиентами,Просмотрен
u388,Учебное пособие Домашняя техника,Просмотрен
u1502,Технология  демонстрации оборудования,Просмотрен
u1502,ПОРЯДОК ОРГАНИЗАЦИИ КОРПОРАТИВНОГО ОБУЧЕНИЯ,Просмотрен
u1503,Стиральные машины и наборы для стирки,Просмотрен
u1360,ПАМЯТКА «ИЗДЕЛИЯ ИМПОРТНОГО ПРОИЗВОДСТВА»,Просмотрен
u136,Учебное пособие «Клиентские сервисы»,Просмотрен
u136,ИНСТРУКЦИЯ ДЛЯ УПРАВЛЯЮЩИХ «РАБОТА В ПРОГРАММЕ 1С ДОКУМЕНТООБОРОТ»,Просмотрен
u167,Утюги и аксессуары для глажки,Просмотрен
u167,Ассортимент,Просмотрен
u167,Основы работы на кассовом аппарате Штрих-Мини-К,Просмотрен
u167,Тостеры,Просмотрен
u167,УЧЕБНОЕ ПОСОБИЕ ДЛЯ УПРАВЛЯЮЩИХ «РАБОТА С ЭЛЕКТРОННЫМ ДОКУМЕНТООБОРОТОМ»,Просмотрен
u167,Дизайнерские чайники,Просмотрен
u167,Учебный курс «Стандарты качества Чайникофф»,Просмотрен
u167,Подать заявку,Просмотрен
u1468,Forbes_Life,Просмотрен
u1468,скрипты Tefal,Просмотрен
u1471,Прохождение оценочной процедуры на портале Oбучения,Просмотрен
u1535,Статья: 7 возрастов руководителя.,Просмотрен
u1920,СТАТЬЯ: 25 правил продаж,Просмотрен
u1920,Технология  демонстрации оборудования,Просмотрен
u1063,"Учебное пособие ""электроника для начинающих""",Просмотрен
u1063,Вентиляторы,Просмотрен
u1063,Заполнение результатов аттестации сотрудников,Просмотрен
u1063,Учебное пособие «Схемотехника»,Просмотрен
u1063,Дизайнерские чайники,Просмотрен
u1063,Учебное пособие «Чайники»,Просмотрен
u1063,Учебное пособие «Компания Чайникофф»,Просмотрен
u1063,Технология  демонстрации оборудования,Просмотрен
u1294,"Учебное пособие ""электроника для начинающих""",Просмотрен
u1295,СПАСИБО ОТ СБЕРБАНКА,Просмотрен
u30,Учебное пособие Домашняя техника,Просмотрен
u30,1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ,Просмотрен
u1949,Учебное пособие «Клиентские сервисы»,Просмотрен
u1990,Что такое постановка целей по SMART,Просмотрен
u1990,СКРИПТЫ ПО сервисам магазина,Просмотрен
u643,Учебное пособие «Клиентские сервисы»,Просмотрен
u643,Учебное пособие «Компания Чайникофф»,Просмотрен
u643,Учебное пособие «Клиентский сервис»,Просмотрен
u643,Учебное пособие «Клиентские сервисы»,Просмотрен
u1423,Запуск теста на Портале обучения,Просмотрен
u1261,Ассортимент,Просмотрен
u1261,Дизайнерские чайники,Просмотрен
u825,Часы в ассортименте магазина Чайникофф,Просмотрен
u825,Кофемашины,Просмотрен
u825,Учебное пособие «Сервисы Компании кредит и рассрочка»,Просмотрен
u825,Учебное пособие «Компания Чайникофф»,Просмотрен
u825,Учебный курс «Стандарты качества Чайникофф»,Просмотрен
u825,Учебное пособие «Клиентские сервисы»,Просмотрен
u1805,Общий отдел,Просмотрен
u1805,Служба продаж,Просмотрен
u1805,Онлайн сервисы Чайникофф,Просмотрен
u1805,Скрипты (ШОУРУМ),Просмотрен
u1805,Коллекции,Просмотрен
u1805,УЧЕБНОЕ ПОСОБИЕ ДЛЯ УПРАВЛЯЮЩИХ «РАБОТА С ЭЛЕКТРОННЫМ ДОКУМЕНТООБОРОТОМ»,Просмотрен
u1805,Смартфоны,Просмотрен
u1805,Отдел корпоративных продаж,Просмотрен
u1805,Демонстрационная презентация Tefal,Просмотрен
u1805,Наклейки,Просмотрен
u1805,Департамент управления проектами,Просмотрен
u1805,Планово-производственный отдел,Просмотрен
u1805,Тостеры,Просмотрен
u1805,Дизайнерские чайники,Просмотрен
u1805,Тонкая электроника,Просмотрен
u1805,Подарки,Просмотрен
u1805,Демонстрационная презентация Мотивационная модель,Просмотрен
u1805,"Проект ""Система постоянного развития""",Просмотрен
u1805,Демонстрационная презентация АССОРТИМЕНТ,Просмотрен
u1805,"Форматы магазинов ""Чайникофф""",Просмотрен
u1805,Принципы ремонта техники,Просмотрен
u1805,Планшеты,Просмотрен
u1805,Департамент безопасности,Просмотрен
u1805,Презентация продукта,Просмотрен
u1805,Департамент оптовых продаж,Просмотрен
u1805,Юридический отдел,Просмотрен
u1805,Стиральные машины и наборы для стирки,Просмотрен
u1805,Аналитическая служба,Просмотрен
u1805,Соковыжималки,Просмотрен
u1805,Вентиляторы,Просмотрен
u1805,Инструкция по раскладке товара,Просмотрен
u1805,Департамент логистики,Просмотрен
u1805,Департамент информационных технологий,Просмотрен
u1805,СКРИПТЫ спец проект,Просмотрен
u1805,Портал обучения и развития персонала,Просмотрен
u1805,Ассортимент,Просмотрен
u1805,Бытовая техника,Просмотрен
u1805,Ассортимент ноутбуков,Просмотрен
u1805,Демонстрационная презентация Компания Philips,Просмотрен
u1805,Инструкция по выкладке товара,Просмотрен
u939,Что такое постановка целей по SMART,Просмотрен
u939,Каталог программ обучения,Просмотрен
u1853,СКРИПТЫ спец проект,Просмотрен
u1853,Вентиляторы,Просмотрен
u935,Коллекции,Просмотрен
u760,Дизайнерские чайники,Просмотрен
u760,летняя акция,Просмотрен
u760,Вентиляторы,Просмотрен
u2051,1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ,Просмотрен
u2051,Учебное пособие Домашняя техника,Просмотрен
u641,Прохождение оценочной процедуры на портале Oбучения,Просмотрен
u750,ФОРУМ_КАК ПОЛЬЗОВАТЬСЯ,Просмотрен
u622,Наклейки,Просмотрен
u622,Коллекции,Просмотрен
u358,Тостеры,Просмотрен
u183,Подать заявку,Просмотрен
u183,Прохождение оценочной процедуры на портале Oбучения,Просмотрен
u1828,Учебное пособие Домашняя техника,Просмотрен
u1791,Памятка «Взаимодействие магазин – мастерская»,Просмотрен
u1956,скрипты Tefal,Просмотрен
u1956,Планшеты,Просмотрен
u1956,Подарки,Просмотрен
u1956,Демонстрационная презентация Соцпакет,Просмотрен
u1981,Учебное пособие для Управляющих «Маркетинг»,Просмотрен
u1981,Учебный курс для Управляющих «Бюджетирование»,Просмотрен
u1981,Ученый курс для Управляющих «Сопровождение проверок»,Просмотрен
u784,Учебное пособие «Компания Чайникофф»,Просмотрен
u784,Ученый курс для Управляющих «Сопровождение проверок»,Просмотрен
u1844,Тостеры,Просмотрен
u1574,Учебное пособие «Компания Чайникофф»,Просмотрен
u1574,Учебное пособие «Сервисы Компании кредит и рассрочка»,Просмотрен
u1574,"Учебное пособие ""электроника для начинающих""",Просмотрен
u2077,СТАТЬЯ: Речь как индикатор личности.,Просмотрен
u1332,ПАМЯТКА «ИЗДЕЛИЯ ИМПОРТНОГО ПРОИЗВОДСТВА»,Просмотрен
u2107,Дизайнерские чайники,Просмотрен
u2107,Тостеры,Просмотрен
u2107,СПАСИБО ОТ СБЕРБАНКА,Просмотрен
u2107,Наклейки,Просмотрен
u2107,Утюги и аксессуары для глажки,Просмотрен
u2107,Технология  демонстрации оборудования,Просмотрен
u2107,Вентиляторы,Просмотрен
u2107,СКРИПТЫ: спец проект,Просмотрен
u2107,Ассортимент,Просмотрен
u2107,Бытовая техника,Просмотрен
u2107,летняя акция,Просмотрен
u2107,СКРИПТЫ спец проект,Просмотрен
u2107,Фены,Просмотрен
u2107,Планшеты,Просмотрен
u1335,Учебный курс «Стандарты качества Чайникофф»,Просмотрен
u1335,Учебное пособие «Клиентский сервис»,Просмотрен
u1335,Учебное пособие «Компания Чайникофф»,Просмотрен
u1289,How are you,Просмотрен
u1859,Prepositions AT IN ON,Просмотрен
u1859,How are you,Просмотрен
u1859,Time,Просмотрен
u688,СТАТЬЯ: Речь как индикатор личности.,Просмотрен
u229,1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ,Просмотрен
u229,ПОРЯДОК ОРГАНИЗАЦИИ КОРПОРАТИВНОГО ОБУЧЕНИЯ,Просмотрен
u383,Заполнение результатов аттестации сотрудников,Просмотрен
